종목명,종목코드,상장시장
33310,33310,KOSPI
33640,33640,KOSPI
33780,33780,KOSPI
34020,34020,KOSPI
34220,34220,KOSPI
34230,34230,KOSPI
34730,34730,KOSPI
35080,35080,KOSPI
35250,35250,KOSPI
35420,35420,KOSPI
35600,35600,KOSPI
35720,35720,KOSPI
35760,35760,KOSPI
35890,35890,KOSPI
35900,35900,KOSPI
36030,36030,KOSPI
36460,36460,KOSPI
36540,36540,KOSPI
36570,36570,KOSPI
36810,36810,KOSPI
36830,36830,KOSPI
36930,36930,KOSPI
38500,38500,KOSPI
39030,39030,KOSPI
39200,39200,KOSPI
39490,39490,KOSPI
39840,39840,KOSPI
41190,41190,KOSPI
41510,41510,KOSPI
41960,41960,KOSPI
42000,42000,KOSPI
42660,42660,KOSPI
42700,42700,KOSPI
43150,43150,KOSPI
46890,46890,KOSPI
47040,47040,KOSPI
47050,47050,KOSPI
47810,47810,KOSPI
48260,48260,KOSPI
48410,48410,KOSPI
48530,48530,KOSPI
49070,49070,KOSPI
51600,51600,KOSPI
51900,51900,KOSPI
51905,51905,KOSPI
51910,51910,KOSPI
51915,51915,KOSPI
52400,52400,KOSPI
52690,52690,KOSPI
53030,53030,KOSPI
53800,53800,KOSPI
55550,55550,KOSPI
56190,56190,KOSPI
58470,58470,KOSPI
58820,58820,KOSPI
60150,60150,KOSPI
60250,60250,KOSPI
60720,60720,KOSPI
61970,61970,KOSPI
64260,64260,KOSPI
64350,64350,KOSPI
64550,64550,KOSPI
64760,64760,KOSPI
65660,65660,KOSPI
66570,66570,KOSPI
66575,66575,KOSPI
66970,66970,KOSPI
67000,67000,KOSPI
67160,67160,KOSPI
67310,67310,KOSPI
67630,67630,KOSPI
68240,68240,KOSPI
68270,68270,KOSPI
68760,68760,KOSPI
69080,69080,KOSPI
69500,69500,KOSPI
69620,69620,KOSPI
69960,69960,KOSPI
71050,71050,KOSPI
73240,73240,KOSPI
74600,74600,KOSPI
78020,78020,KOSPI
78130,78130,KOSPI
78340,78340,KOSPI
78600,78600,KOSPI
78930,78930,KOSPI
81660,81660,KOSPI
82270,82270,KOSPI
83790,83790,KOSPI
84110,84110,KOSPI
84370,84370,KOSPI
84850,84850,KOSPI
84990,84990,KOSPI
85660,85660,KOSPI
86280,86280,KOSPI
86390,86390,KOSPI
86450,86450,KOSPI
86790,86790,KOSPI
86900,86900,KOSPI
88350,88350,KOSPI
88800,88800,KOSPI
89030,89030,KOSPI
89970,89970,KOSPI
89980,89980,KOSPI
90430,90430,KOSPI
90460,90460,KOSPI
91700,91700,KOSPI
91990,91990,KOSPI
92040,92040,KOSPI
92190,92190,KOSPI
95610,95610,KOSPI
95660,95660,KOSPI
95700,95700,KOSPI
96530,96530,KOSPI
96770,96770,KOSPI
97950,97950,KOSPI
98460,98460,KOSPI
99320,99320,KOSPI
100090,100090,KOSPI
101490,101490,KOSPI
102110,102110,KOSPI
102710,102710,KOSPI
102780,102780,KOSPI
104480,104480,KOSPI
105560,105560,KOSPI
108320,108320,KOSPI
110790,110790,KOSPI
111770,111770,KOSPI
112040,112040,KOSPI
112610,112610,KOSPI
120110,120110,KOSPI
121800,121800,KOSPI
122450,122450,KOSPI
122630,122630,KOSPI
122870,122870,KOSPI
128940,128940,KOSPI
131290,131290,KOSPI
131370,131370,KOSPI
131970,131970,KOSPI
137400,137400,KOSPI
138040,138040,KOSPI
138930,138930,KOSPI
139130,139130,KOSPI
139480,139480,KOSPI
140410,140410,KOSPI
140860,140860,KOSPI
141080,141080,KOSPI
143240,143240,KOSPI
144510,144510,KOSPI
145020,145020,KOSPI
151860,151860,KOSPI
151910,151910,KOSPI
153130,153130,KOSPI
161390,161390,KOSPI
161890,161890,KOSPI
166090,166090,KOSPI
175330,175330,KOSPI
178320,178320,KOSPI
178920,178920,KOSPI
180640,180640,KOSPI
181710,181710,KOSPI
183300,183300,KOSPI
183490,183490,KOSPI
185490,185490,KOSPI
185750,185750,KOSPI
192820,192820,KOSPI
194480,194480,KOSPI
196170,196170,KOSPI
200130,200130,KOSPI
204270,204270,KOSPI
204320,204320,KOSPI
205470,205470,KOSPI
206640,206640,KOSPI
206650,206650,KOSPI
207940,207940,KOSPI
213420,213420,KOSPI
214150,214150,KOSPI
214320,214320,KOSPI
214370,214370,KOSPI
214450,214450,KOSPI
214980,214980,KOSPI
215000,215000,KOSPI
215200,215200,KOSPI
216080,216080,KOSPI
217270,217270,KOSPI
218410,218410,KOSPI
220630,220630,KOSPI
222080,222080,KOSPI
222800,222800,KOSPI
226950,226950,KOSPI
230360,230360,KOSPI
232140,232140,KOSPI
235980,235980,KOSPI
237690,237690,KOSPI
240810,240810,KOSPI
241560,241560,KOSPI
243070,243070,KOSPI
247540,247540,KOSPI
251270,251270,KOSPI
252670,252670,KOSPI
253450,253450,KOSPI
256840,256840,KOSPI
263720,263720,KOSPI
263750,263750,KOSPI
267250,267250,KOSPI
267980,267980,KOSPI
268600,268600,KOSPI
271560,271560,KOSPI
272210,272210,KOSPI
272290,272290,KOSPI
273130,273130,KOSPI
278280,278280,KOSPI
278530,278530,KOSPI
282330,282330,KOSPI
285130,285130,KOSPI
287410,287410,KOSPI
290510,290510,KOSPI
290650,290650,KOSPI
292150,292150,KOSPI
293490,293490,KOSPI
293780,293780,KOSPI
294090,294090,KOSPI
294870,294870,KOSPI
298000,298000,KOSPI
298020,298020,KOSPI
298050,298050,KOSPI
298380,298380,KOSPI
299030,299030,KOSPI
299660,299660,KOSPI
299900,299900,KOSPI
307950,307950,KOSPI
314130,314130,KOSPI
316140,316140,KOSPI
319400,319400,KOSPI
319660,319660,KOSPI
321550,321550,KOSPI
323990,323990,KOSPI
326030,326030,KOSPI
330590,330590,KOSPI
330860,330860,KOSPI
336260,336260,KOSPI
336370,336370,KOSPI
347860,347860,KOSPI
348150,348150,KOSPI
348210,348210,KOSPI
352820,352820,KOSPI
357780,357780,KOSPI
363280,363280,KOSPI
950130,950130,KOSPI
